2026-03-02 10:10:29,089 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 10:10:32,702 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 10:10:32,713 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 10:10:32,714 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 10:10:34,589 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 10:10:34,590 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 10:10:35,156 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 10:10:35,157 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 10:10:35,705 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 10:10:35,705 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 10:10:37,426 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 10:10:37,427 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 10:10:38,451 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 10:10:38,460 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 59 chunks (text=51, table=3, image=5)
