2026-03-02 11:11:09,989 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 11:11:12,990 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 11:11:12,995 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 11:11:12,996 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 11:11:14,774 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 11:11:14,775 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 11:11:15,464 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 11:11:15,465 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 11:11:16,096 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 11:11:16,096 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 11:11:17,938 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 11:11:17,938 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 11:11:19,246 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 11:11:19,262 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 56 chunks (text=45, table=6, image=5)
