2026-03-02 12:06:57,853 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 12:07:00,351 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 12:07:00,351 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 12:07:00,351 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 12:07:01,952 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 12:07:01,954 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 12:07:02,516 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 12:07:02,516 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 12:07:02,986 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 12:07:02,986 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 12:07:04,887 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 12:07:04,888 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 12:07:06,138 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 12:07:06,138 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 59 chunks (text=51, table=3, image=5)
