2026-03-02 12:26:28,201 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 12:26:30,918 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 12:26:30,932 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 12:26:30,932 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 12:26:32,650 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 12:26:32,650 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 12:26:33,334 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 12:26:33,334 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 12:26:33,910 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 12:26:33,916 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 12:26:35,636 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 12:26:35,637 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 12:26:36,871 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 12:26:36,871 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 59 chunks (text=51, table=3, image=5)
