2026-03-02 10:29:20,801 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 10:29:23,833 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 10:29:23,833 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 10:29:23,833 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 10:29:25,865 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 10:29:25,867 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 10:29:26,450 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 10:29:26,463 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 10:29:27,068 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 10:29:27,068 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 10:29:28,409 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 10:29:28,409 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 10:29:29,647 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 10:29:29,647 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 61 chunks (text=50, table=6, image=5)
