2026-03-02 09:02:05,895 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 09:02:08,392 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 09:02:08,397 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 09:02:08,397 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 09:02:10,420 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 09:02:10,421 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 09:02:11,124 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 09:02:11,124 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 09:02:11,670 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 09:02:11,670 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 09:02:13,164 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 09:02:13,164 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 09:02:14,434 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 09:02:14,440 | INFO     | src.chunking.table_aware | table_aware_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 44 chunks  (text=32, table=7, image=5)
2026-03-02 09:02:14,445 | INFO     | src.chunking.parent_child | Parent-Child chunking: doc='2602.03442v1_rag_pdf-1-9.pdf' → 20 parents, 137 children
2026-03-02 09:02:14,451 | INFO     | src.chunking.structure_recursive | Structure-Recursive chunking: doc='2602.03442v1_rag_pdf-1-9.pdf' → 48 chunks from 9 sections
