2026-03-02 11:36:24,168 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 11:36:26,691 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 11:36:26,691 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 11:36:26,691 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 11:36:28,461 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 11:36:28,462 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 11:36:29,141 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 11:36:29,142 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 11:36:29,903 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 11:36:29,904 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 11:36:31,573 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 11:36:31,573 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 11:36:32,542 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 11:36:32,548 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 55 chunks (text=44, table=6, image=5)
